salary;age;elevel;car;zipcode;credit;brand
113770,6723;59;3;14;6;737,93;Belkin
139182,774;67;3;16;5;679,31;Elago
101966,6571;53;2;3;8;602,73;Belkin
71760,51794;26;2;8;5;653,9;Belkin
124202,78085368;46;3;9;0;627,27; 
36716,5361;46;2;5;6;461,72;Elago
129555,8395;34;2;19;8;726,78;Elago
128817,918685184;67;3;4;1;781,37; 
92665,20062;71;2;19;4;712,01;Belkin
139913,349946601;43;3;20;1;810,75; 
87023,31941;26;2;14;5;627,84;Belkin
98205,38073;67;3;4;0;665,53;Belkin
86510,97719;48;2;15;3;694,45;Belkin
56504,47056;46;2;1;1;641,76;Elago
40945,3734914075;70;2;20;8;492,53; 
32160,43161;33;1;8;1;588,53;Elago
100794,923016642;49;2;17;0;631,85; 
120871,0282;60;3;5;3;677,64;Elago
31766,1650410999;64;1;15;3;551,31; 
57879,39637;33;2;5;4;514,48;Belkin
47597,31138;39;2;4;4;489,25;Elago
75226,470310225;79;1;5;0;581,88; 
130019,784262869;50;3;20;7;625,61; 
103987,047361996;64;2;14;7;666,1; 
127372,33819098;53;3;2;3;708,23; 
90124,2767360318;22;3;15;8;704,28; 
85124,700992778;52;2;6;7;676,33; 
74452,7415;77;2;8;7;581,24;Belkin
34582,57713;49;1;18;2;499,1;Elago
126163,06;20;2;4;2;802,57;Elago
122148,730277629;75;3;9;5;717,01; 
28662,61981;48;2;18;7;591,47;Elago
81264,8358;50;3;13;6;702,61;Belkin
33221,00756;33;1;18;8;581,21;Elago
98707,5136472493;62;2;17;0;597,67; 
82322,35376;78;3;9;1;567,8;Belkin
106239,816753666;29;2;16;2;614,52; 
59800,42133;52;2;7;7;570,19;Elago
72984,10213;65;3;7;2;539,65;Belkin
88978,9566183383;77;3;7;0;595,64; 
43455,62206;35;1;19;2;582,55;Elago
119173,6601;50;2;20;7;689,64;Belkin
62975,4399709267;20;2;16;7;532,94; 
84417,76827;76;3;20;1;610,33;Belkin
106166,8423;74;3;13;4;627,74;Elago
61681,522599377;66;3;3;6;641,19; 
108705,4751;39;3;8;0;651,92;Belkin
150000;76;3;11;3;804,94;Elago
91151,51517;64;2;2;4;605,24;Elago
130756,6811;66;3;1;1;800,71;Belkin
53546,72136;52;1;7;3;589,28;Belkin
52078,16498;73;3;3;8;637,54;Belkin
120157,7166;30;2;16;1;706,43;Elago
77445,61939;36;2;6;7;625,94;Belkin
51037,26294;43;2;8;0;482,48;Elago
73590,7395185755;51;3;3;7;634,59; 
41544,3235660801;44;1;3;4;506,82; 
31184,57771;31;1;15;7;464,91;Elago
86156,25961;55;3;17;8;688,31;Belkin
97148,12112;50;3;19;5;749,29;Belkin
96120,495;36;2;14;6;741,09;Belkin
62178,23118;44;3;18;7;651,63;Elago
32815,78636;68;1;18;1;587,03;Belkin
33290,17045;22;2;7;2;612,57;Elago
157649,517922563;60;3;11;8;669,97; 
30089,75761;64;2;18;0;597,2;Elago
97374,1715934844;59;3;13;1;593,03; 
70505,1939322065;20;3;3;8;578,97; 
83633,82336;29;3;3;3;570,79;Belkin
78508,80393;56;2;20;0;684,7;Belkin
109141,4811;55;3;6;1;614,95;Belkin
113215,5704;73;3;12;7;668,55;Elago
150000;39;3;5;5;726,24;Elago
51127,20998;77;3;20;1;501,21;Belkin
58492,53432;40;2;8;0;605,96;Belkin
85538,1008;22;3;2;6;649,62;Belkin
141705,8153;71;4;14;0;808,96;Belkin
39907,2493886599;77;2;17;0;552,23; 
120978,864819245;26;3;1;0;728,62; 
